=== SHEET 1: INPUT_PARAMETERS ===
Cell,Variable_Name,Capability,Default_Value,Origin_Copybook,Type
B35,"`COM-CBSA-W-INDEX`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B36,"`NAT-NONLABOR-PCT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B37,"`1.112`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B38,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B39,"`CASE-MIX-BDGT-NEUT-FACTOR","Financial & Loan Calculation Engine",10,"Data","Parameter"
B40,"`1.620`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B41,"`DRUG-ADDON`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B42,"`H-2008-WAGE-ADJ-PYMT`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B43,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B44,"`HOSP-BASED-PMT-RATE`","Financial & Loan Calculation Engine",5.5,"Data","Parameter"
B45,"`NAT-LABOR-PCT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B46,"`COM-CBSA-W-INDEX`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B47,"`NAT-NONLABOR-PCT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B48,"`1.112`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B49,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B50,"`CASE-MIX-BDGT-NEUT-FACTOR","Financial & Loan Calculation Engine",10,"Data","Parameter"
B51,"`1.620`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B52,"`DRUG-ADDON`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B53,"`0.00`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B54,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B55,"`HOSP-BASED-PMT-RATE`","Financial & Loan Calculation Engine",5.5,"Data","Parameter"
B56,"`NAT-LABOR-PCT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B57,"`COM-CBSA-W-INDEX`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B58,"`NAT-NONLABOR-PCT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B59,"`1.112`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B60,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B61,"`CASE-MIX-BDGT-NEUT-FACTOR","Financial & Loan Calculation Engine",10,"Data","Parameter"
B62,"`1.620`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B63,"`DRUG-ADDON`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B64,"`0.00`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B65,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B66,"`HOSP-BASED-PMT-RATE`","Financial & Loan Calculation Engine",5.5,"Data","Parameter"
B67,"`NAT-LABOR-PCT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B68,"`COM-CBSA-W-INDEX`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B69,"`NAT-NONLABOR-PCT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B70,"`1.112`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B71,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B72,"`CASE-MIX-BDGT-NEUT-FACTOR","Financial & Loan Calculation Engine",10,"Data","Parameter"
B73,"`1.620`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B74,"`DRUG-ADDON`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B75,"`EB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B76,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B77,"`CM-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B78,"`1`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B79,"`CM-LOW-VOL-ADJ-LT-4000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B80,"`SB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B81,"`SB-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B82,"`BASE-PAYMENT-RATE`","Financial & Loan Calculation Engine",5.5,"Data","Parameter"
B83,"`CR-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B84,"`CR-AGE-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B85,"`COMORBID-CWF-RETURN-CODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B86,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B87,"`SB-GI-BLEED`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B88,"`ADJ-AVG-MAP-AMT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B89,"`FIX-DOLLAR-LOSS-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B90,"`LOSS-SHARING-PCT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B91,"`EB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B92,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B93,"`CM-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B94,"`1`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B95,"`CM-LOW-VOL-ADJ-LT-4000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B96,"`SB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B97,"`SB-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B98,"`SB-GI-BLEED`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B99,"`BASE-PAYMENT-RATE`","Financial & Loan Calculation Engine",5.5,"Data","Parameter"
B100,"`CR-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B101,"`CR-AGE-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B102,"`COMORBID-CWF-RETURN-CODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B103,"`H-PYMT-AMT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B104,"`H-OUT-PAYMENT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B105,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B106,"`ADJ-AVG-MAP-AMT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B107,"`FIX-DOLLAR-LOSS-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B108,"`LOSS-SHARING-PCT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B109,"`EB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B110,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B111,"`CM-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B112,"`1`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B113,"`CM-LOW-VOL-ADJ-LT-4000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B114,"`SB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B115,"`SB-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B116,"`SB-GI-BLEED`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B117,"`BASE-PAYMENT-RATE`","Financial & Loan Calculation Engine",5.5,"Data","Parameter"
B118,"`CR-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B119,"`CR-AGE-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B120,"`COMORBID-CWF-RETURN-CODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B121,"`H-PYMT-AMT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B122,"`H-OUT-PAYMENT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B123,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B124,"`ADJ-AVG-MAP-AMT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B125,"`FIX-DOLLAR-LOSS-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B126,"`LOSS-SHARING-PCT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B127,"`EB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B128,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B129,"`CM-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B130,"`1`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B131,"`CM-LOW-VOL-ADJ-LT-4000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B132,"`SB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B133,"`SB-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B134,"`SB-GI-BLEED`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B135,"`BASE-PAYMENT-RATE`","Financial & Loan Calculation Engine",5.5,"Data","Parameter"
B136,"`CR-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B137,"`CR-AGE-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B138,"`COMORBID-CWF-RETURN-CODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B139,"`H-PYMT-AMT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B140,"`H-OUT-PAYMENT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B141,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B142,"`ADJ-AVG-MAP-AMT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B143,"`FIX-DOLLAR-LOSS-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B144,"`LOSS-SHARING-PCT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B145,"`EB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B146,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B147,"`CM-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B148,"`1`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B149,"`CM-LOW-VOL-ADJ-LT-4000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B150,"`SB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B151,"`SB-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B152,"`SB-GI-BLEED`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B153,"`BASE-PAYMENT-RATE`","Financial & Loan Calculation Engine",5.5,"Data","Parameter"
B154,"`CR-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B155,"`CR-AGE-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B156,"`COMORBID-CWF-RETURN-CODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B157,"`H-PYMT-AMT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B158,"`H-OUT-PAYMENT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B159,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B160,"`ADJ-AVG-MAP-AMT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B161,"`FIX-DOLLAR-LOSS-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B162,"`LOSS-SHARING-PCT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B163,"`EB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B164,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B165,"`CM-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B166,"`1`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B167,"`CM-LOW-VOL-ADJ-LT-4000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B168,"`CM-RURAL`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B169,"`SB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B170,"`SB-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B171,"`SB-RURAL`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B172,"`SB-GI-BLEED`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B173,"`BASE-PAYMENT-RATE`","Financial & Loan Calculation Engine",5.5,"Data","Parameter"
B174,"`CR-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B175,"`CR-AGE-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B176,"`COMORBID-CWF-RETURN-CODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B177,"`H-PYMT-AMT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B178,"`H-OUT-PAYMENT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B179,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B180,"`ADJ-AVG-MAP-AMT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B181,"`FIX-DOLLAR-LOSS-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B182,"`LOSS-SHARING-PCT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B183,"`EB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B184,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B185,"`CM-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B186,"`1`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B187,"`CM-LOW-VOL-ADJ-LT-4000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B188,"`CM-RURAL`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B189,"`H-BUN-BASE-WAGE-AMT`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B190,"`SB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B191,"`SB-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B192,"`SB-RURAL`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B193,"`SB-GI-BLEED`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B194,"`COMORBID-CWF-RETURN-CODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B195,"`H-PYMT-AMT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B196,"`H-OUT-PAYMENT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B197,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B198,"`ADJ-AVG-MAP-AMT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B199,"`FIX-DOLLAR-LOSS-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B200,"`LOSS-SHARING-PCT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B201,"`EB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B202,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B203,"`CM-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B204,"`1`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B205,"`CM-LOW-VOL-ADJ-LT-4000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B206,"`CM-RURAL`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B207,"`H-BUN-BASE-WAGE-AMT`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B208,"`SB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B209,"`SB-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B210,"`SB-RURAL`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B211,"`SB-GI-BLEED`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B212,"`COMORBID-CWF-RETURN-CODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B213,"`H-PYMT-AMT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B214,"`H-OUT-PAYMENT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B215,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B216,"`ADJ-AVG-MAP-AMT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B217,"`FIX-DOLLAR-LOSS-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B218,"`LOSS-SHARING-PCT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B219,"`EB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B220,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B221,"`CM-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B222,"`1`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B223,"`CM-LOW-VOL-ADJ-LT-4000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B224,"`CM-RURAL`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B225,"`H-BUN-BASE-WAGE-AMT`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B226,"`(B-PAYER-ONLY-VC-Q8","Financial & Loan Calculation Engine",10,"Data","Parameter"
B227,"`SB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B228,"`SB-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B229,"`SB-RURAL`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B230,"`SB-GI-BLEED`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B231,"`COMORBID-CWF-RETURN-CODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B232,"`H-PYMT-AMT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B233,"`H-OUT-PAYMENT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B234,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B235,"`ADJ-AVG-MAP-AMT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B236,"`FIX-DOLLAR-LOSS-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B237,"`LOSS-SHARING-PCT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B238,"`EB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B239,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B240,"`CM-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B241,"`1`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B242,"`CM-LOW-VOL-ADJ-LT-4000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B243,"`CM-RURAL`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B244,"`H-BUN-BASE-WAGE-AMT`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B245,"`(B-PAYER-ONLY-VC-Q8","Financial & Loan Calculation Engine",10,"Data","Parameter"
B246,"`SB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B247,"`SB-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B248,"`SB-RURAL`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B249,"`SB-GI-BLEED`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B250,"`COMORBID-CWF-RETURN-CODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B251,"`H-PYMT-AMT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B252,"`H-OUT-PAYMENT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B253,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B254,"`ADJ-AVG-MAP-AMT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B255,"`FIX-DOLLAR-LOSS-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B256,"`LOSS-SHARING-PCT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B257,"`EB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B258,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B259,"`CM-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B260,"`1`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B261,"`CM-LOW-VOL-ADJ-LT-4000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B262,"`CM-RURAL`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B263,"`H-BUN-BASE-WAGE-AMT`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B264,"`(B-PAYER-ONLY-VC-Q8","Financial & Loan Calculation Engine",10,"Data","Parameter"
B265,"`SB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B266,"`SB-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B267,"`SB-RURAL`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B268,"`SB-GI-BLEED`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B269,"`COMORBID-CWF-RETURN-CODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B270,"`H-PYMT-AMT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B271,"`H-OUT-PAYMENT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B272,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B273,"`ADJ-AVG-MAP-AMT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B274,"`FIX-DOLLAR-LOSS-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B275,"`LOSS-SHARING-PCT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B276,"`EB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B277,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B278,"`CM-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B279,"`1`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B280,"`CM-LOW-VOL-ADJ-LT-4000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B281,"`CM-RURAL`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B282,"`(B-PAYER-ONLY-VC-Q8","Financial & Loan Calculation Engine",10,"Data","Parameter"
B283,"`H-FINAL-AMT-WITH-HDPA`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B284,"`SB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B285,"`SB-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B286,"`SB-RURAL`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B287,"`SB-GI-BLEED`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B288,"`COMORBID-CWF-RETURN-CODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B289,"`H-PYMT-AMT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B290,"`H-OUT-PAYMENT","Financial & Loan Calculation Engine",10,"Data","Parameter"
B291,"`(B-THRU-CCYY","Financial & Loan Calculation Engine",10,"Data","Parameter"
B292,"`ADJ-AVG-MAP-AMT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B293,"`FIX-DOLLAR-LOSS-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B294,"`LOSS-SHARING-PCT-LT-18`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B295,"`EB-AGE-LT-13-HEMO-MODE`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B296,"`1.000`","Financial & Loan Calculation Engine",10,"Data","Parameter"
B297,"`CM-BMI-LT-18-5`","Financial & Loan Calculation Engine",10,"Data","Parameter"
